fund,company,domain,hq,sector,stage,source_url
Next47,Claroty,,US,Infrastructure,Series C,https://www.n47.com/portfolio
Next47,Cohesity,,US,Infrastructure,Series D,https://www.n47.com/portfolio
Next47,DataGrail,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,DeepScale,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,Echo,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,Enzo Health,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Euno,,Israel,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,Freehand,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Gecko Robotics,,US,Systems,Series B,https://www.n47.com/portfolio
Next47,Halcyon,,US,Infrastructure,Series C,https://www.n47.com/portfolio
Next47,Harmonic Security,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,Kai,,US,Infrastructure,Seed,https://www.n47.com/portfolio
Next47,Locus Robotics,,US,Systems,Series F,https://www.n47.com/portfolio
Next47,Logz.io,,Israel,Infrastructure,Series D,https://www.n47.com/portfolio
Next47,Luminary,,US,Infrastructure,Series B,https://www.n47.com/portfolio
Next47,Markforged,,US,Systems,Series A,https://www.n47.com/portfolio
Next47,Metadata,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,Nominal,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Noname Security,,Israel,Infrastructure,Series B,https://www.n47.com/portfolio
Next47,Observe.AI,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,Patlytics,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Radiant Security,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Next47,rideOS,,,Applications,Series B,https://www.n47.com/portfolio
Next47,Scoutbee,,Europe,Applications,Series B,https://www.n47.com/portfolio
Next47,Sennder,,Europe,Applications,Series C,https://www.n47.com/portfolio
Next47,Sila,,US,Systems,Series D,https://www.n47.com/portfolio
Next47,Skylo,,US,Infrastructure,,https://www.n47.com/portfolio
Next47,Sona,,Europe,Applications,Series B,https://www.n47.com/portfolio
Next47,Sysdig,,US,Infrastructure,Series F,https://www.n47.com/portfolio
Next47,TigerEye,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Turvo,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,TwoDots,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Varjo,,Europe,Systems,Series B,https://www.n47.com/portfolio
Next47,Vitally,,US,Applications,Series B,https://www.n47.com/portfolio
Next47,Wandelbots,,Europe,Systems,Series B,https://www.n47.com/portfolio
Next47,XBuild,,US,Applications,Series A,https://www.n47.com/portfolio
Next47,Yellowbrick Data,,US,Infrastructure,Series B,https://www.n47.com/portfolio
Next47,Zesty,,US,Infrastructure,Series A,https://www.n47.com/portfolio
Frontline Ventures,Advisable,,,Talent acquisition,,https://www.frontline.vc/portfolio
Frontline Ventures,AQMetrics,,,Financial compliance & risk,,https://www.frontline.vc/portfolio
Frontline Ventures,Astronomer,,Cincinnati,Data platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Barricade,,,Server security,,https://www.frontline.vc/portfolio
Frontline Ventures,Birdi,,,Satellite imagery & analytics,,https://www.frontline.vc/portfolio
Frontline Ventures,Boxfish,,,Audience targeting AI,,https://www.frontline.vc/portfolio
Frontline Ventures,Buildingeye,,,Civic data & GIS,,https://www.frontline.vc/portfolio
Frontline Ventures,Boxever,,,Travel marketing platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Brightflag,,,Legal tech,,https://www.frontline.vc/portfolio
Frontline Ventures,COLLECTIVfood,,,Food procurement,,https://www.frontline.vc/portfolio
Frontline Ventures,Countingup,,,Banking & accounting,,https://www.frontline.vc/portfolio
Frontline Ventures,CurrencyFair,,,Money transfers,,https://www.frontline.vc/portfolio
Frontline Ventures,Drop,,,Baking app & hardware,,https://www.frontline.vc/portfolio
Frontline Ventures,FINBOURNE Technology,,,Financial data platform,,https://www.frontline.vc/portfolio
Frontline Ventures,HomeTree,,,Energy-saving home improvements,,https://www.frontline.vc/portfolio
Frontline Ventures,Inkitt,,,Writing platform,,https://www.frontline.vc/portfolio
Frontline Ventures,James,,,Credit risk ML,,https://www.frontline.vc/portfolio
Frontline Ventures,Learnerbly,,,Employee learning platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Linked Finance,,Ireland,Peer-to-peer lending,,https://www.frontline.vc/portfolio
Frontline Ventures,Localistico,,,Local marketing analytics,,https://www.frontline.vc/portfolio
Frontline Ventures,Logz.io,,,Log analytics,,https://www.frontline.vc/portfolio
Frontline Ventures,Logical Clocks,,Stockholm,Data science platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Manna,,,Drone food delivery,,https://www.frontline.vc/portfolio
Frontline Ventures,Moltin,,,E-commerce API,,https://www.frontline.vc/portfolio
Frontline Ventures,Orchestrate,,,Database API service,,https://www.frontline.vc/portfolio
Frontline Ventures,PageFair,,,Ad-blocking solutions,,https://www.frontline.vc/portfolio
Frontline Ventures,Pathfinder,,,E-commerce marketing AI,,https://www.frontline.vc/portfolio
Frontline Ventures,Payslip,,,Payroll management,,https://www.frontline.vc/portfolio
Frontline Ventures,Tracworx,,,Hospital tracking system,,https://www.frontline.vc/portfolio
Frontline Ventures,Qstream,,,Sales enablement,,https://www.frontline.vc/portfolio
Frontline Ventures,Raising IT,,,Nonprofit tech platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Roomex,,,Hotel booking platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Signal Media,,,Business intelligence AI,,https://www.frontline.vc/portfolio
Frontline Ventures,Siren,,,Data intelligence platform,,https://www.frontline.vc/portfolio
Frontline Ventures,Spirable,,,Contextual video marketing,,https://www.frontline.vc/portfolio
Frontline Ventures,Sweepr,,,Home tech support AI,,https://www.frontline.vc/portfolio
Frontline Ventures,Tandem HR,,,Performance management,,https://www.frontline.vc/portfolio
Frontline Ventures,TeachKloud,,,Early education management,,https://www.frontline.vc/portfolio
Frontline Ventures,TravelNest,,,Holiday rental management,,https://www.frontline.vc/portfolio
Frontline Ventures,umba,,,Emerging markets microloans,,https://www.frontline.vc/portfolio
Frontline Ventures,Understand.ai,,,Autonomous vehicle training data,,https://www.frontline.vc/portfolio
Frontline Ventures,Verifly,,,Drone insurance,,https://www.frontline.vc/portfolio
Frontline Ventures,Verve,,,Youth brand discovery platform,,https://www.frontline.vc/portfolio
Episode 1,Adludio,adludio.com,,"AdTech, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Adsum,adsum-works.com,,"FinTech, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Aimbrain,biocatch.com,,"DeepTech, SaaS",Pre-seed,https://episode1.com/portfolio
Episode 1,Atlas,portal.deeptide.com,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Attest,askattest.com,,SaaS,Seed,https://episode1.com/portfolio
Episode 1,Auquan,auquan.com,,"DeepTech, FinTech",Seed/Early,https://episode1.com/portfolio
Episode 1,Autopaid,,,FinTech,Seed/Early,https://episode1.com/portfolio
Episode 1,Black Sun,bstream.io,,"SaaS, Web3, Infrastructure",Seed,https://episode1.com/portfolio
Episode 1,BTRT,btrt.io,,SaaS,Pre-Seed,https://episode1.com/portfolio
Episode 1,Building Atlas,buildingatlas.io,,Climate Tech,Seed,https://episode1.com/portfolio
Episode 1,Carwow,carwow.co.uk,,"SaaS, Consumer",Pre-Seed,https://episode1.com/portfolio
Episode 1,CFDX,,,Biotech,Pre-Seed,https://episode1.com/portfolio
Episode 1,Chillchain,chillchain.net,,"SaaS, Logistics",Seed,https://episode1.com/portfolio
Episode 1,Circuitmind,circuitmind.io,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Cloud NC,cloudnc.com,,"DeepTech, Manufacturing",Pre-Seed,https://episode1.com/portfolio
Episode 1,Cluster HQ,,,"DeepTech, Infrastructure",Seed,https://episode1.com/portfolio
Episode 1,Context Scout,contextscout.com,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Dragonfly,askdragonfly.com,,"Productivity, SaaS, Marketplace",Pre-Seed,https://episode1.com/portfolio
Episode 1,Edgetier,edgetier.com,,SaaS,Seed,https://episode1.com/portfolio
Episode 1,Effra,effra.io,,"HealthTech, FinTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Emoov,emoov.co.uk,,"Marketplace, Consumer",Seed,https://episode1.com/portfolio
Episode 1,Fatmap,fatmap.com,,"Consumer, DeepTech",Seed,https://episode1.com/portfolio
Episode 1,Feedr,feedr.co,,"Marketplace, FoodTech",Seed,https://episode1.com/portfolio
Episode 1,Fig Finance,figfinance.io,,FinTech,Pre-Seed,https://episode1.com/portfolio
Episode 1,Fluidstack,fluidstack.io,,Infrastructure,Seed,https://episode1.com/portfolio
Episode 1,Frame,frame.so,,"SaaS, Productivity",Pre-Seed,https://episode1.com/portfolio
Episode 1,Global App Testing,globalapptesting.com,,"SaaS, DevTools",Seed,https://episode1.com/portfolio
Episode 1,Huboo,huboo.com,,Logistics,Seed,https://episode1.com/portfolio
Episode 1,IAND,iand.com,,SaaS,Seed,https://episode1.com/portfolio
Episode 1,IDlayr,tru.id,,"DeepTech, SaaS",Pre-seed,https://episode1.com/portfolio
Episode 1,Intryc,intryc.com,,"SaaS, BI Tools",Pre-Seed,https://episode1.com/portfolio
Episode 1,Jack & Jill,jackandjill.ai,,"HR Tech, Marketplace",Pre-Seed,https://episode1.com/portfolio
Episode 1,Kleene,kleene.ai,,"SaaS, BI Tools",Seed,https://episode1.com/portfolio
Episode 1,Klydo,,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Lawhive,lawhive.co.uk,,"LegalTech, Marketplace, Consumer",Pre-Seed,https://episode1.com/portfolio
Episode 1,Mantic,mantic.com,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Medishout,medishout.co.uk,,HealthTech,Pre-Seed,https://episode1.com/portfolio
Episode 1,Mimica,mimica.ai,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Omnipresent,omnipresent.com,,"SaaS, HR Tech",Pre-Seed,https://episode1.com/portfolio
Episode 1,Opteran,opteran.com,,DeepTech,Seed,https://episode1.com/portfolio
Episode 1,Ori,ori.co,,"DevTools, Infrastructure, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Ossprey,ossprey.com,,Cyber,Pre-Seed,https://episode1.com/portfolio
Episode 1,PandasAI,pandas-ai.com,,"SaaS, Open Source",Pre-Seed,https://episode1.com/portfolio
Episode 1,Passfort,,,"SaaS, RegTech",Pre-Seed,https://episode1.com/portfolio
Episode 1,Perchpeek,perchpeek.com,,"SaaS, HR Tech",Seed,https://episode1.com/portfolio
Episode 1,Phasecraft,phasecraft.io,,"DeepTech, Quantum",Seed,https://episode1.com/portfolio
Episode 1,Pickr,,,Marketplace,Seed/Early,https://episode1.com/portfolio
Episode 1,Poindexter Labs,poindexterlabs.ai,,Infrastructure,Pre-Seed,https://episode1.com/portfolio
Episode 1,Presentient,presentient.com,,"Biotech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Project B,project-b.dev,,HR Tech,Pre-Seed,https://episode1.com/portfolio
Episode 1,QuestDB,questdb.io,,"Open Source, DevTools, Infrastructure",Pre-Seed,https://episode1.com/portfolio
Episode 1,Raft,raft.ai,,"Logistics, SaaS",Seed/Early,https://episode1.com/portfolio
Episode 1,Raising IT,,,SaaS,Seed,https://episode1.com/portfolio
Episode 1,Refute,refute.com,,SaaS,Pre-Seed,https://episode1.com/portfolio
Episode 1,RevEng,reveng.ai,,"DeepTech, SaaS, Cyber",Pre-Seed,https://episode1.com/portfolio
Episode 1,Risk Ledger,riskledger.com,,"Cyber, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Robin AI,robinai.co.uk,,"SaaS, LegalTech",Seed,https://episode1.com/portfolio
Episode 1,Sable Bio,sablebio.com,,"Biotech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Sama,sama.io,,"SaaS, Marketplace, HR Tech",Seed,https://episode1.com/portfolio
Episode 1,Sano Genetics,sanogenetics.com,,"SaaS, Biotech",Seed,https://episode1.com/portfolio
Episode 1,Scurri,scurri.com,,"Logistics, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Shuffle,shuffle.finance,,FinTech,Seed,https://episode1.com/portfolio
Episode 1,Simplicity DX,simplicitydx.com,,"SaaS, AdTech",Seed,https://episode1.com/portfolio
Episode 1,Simply Cook,simplycook.com,,"FoodTech, Consumer",Seed,https://episode1.com/portfolio
Episode 1,Source.dev,source.dev,,"DevTools, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Sphere,sphere.buzz,,"DeepTech, FinTech, SaaS",Seed,https://episode1.com/portfolio
Episode 1,StackOne,stackone.com,,"Infrastructure, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Stelia,stelia.io,,Infrastructure,Seed,https://episode1.com/portfolio
Episode 1,Strive Health,strive-health.com,,HealthTech,Pre-Seed,https://episode1.com/portfolio
Episode 1,Supercede,supercede.com,,"SaaS, Marketplace, InsurTech",Seed,https://episode1.com/portfolio
Episode 1,Superlinked,superlinked.com,,"DeepTech, SaaS, Infrastructure",Pre-Seed,https://episode1.com/portfolio
Episode 1,Supplycompass,supplycompass.com,,"SaaS, Marketplace",Seed,https://episode1.com/portfolio
Episode 1,Swiftshift,swiftshift.com,,Marketplace,Seed,https://episode1.com/portfolio
Episode 1,Third Eye,,,"DeepTech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,Touch Surgery,touchsurgery.com,,HealthTech,Seed,https://episode1.com/portfolio
Episode 1,Treecard,treecard.org,,"FinTech, Consumer",Pre-Seed,https://episode1.com/portfolio
Episode 1,Triffin,runviable.com,,"FinTech, SaaS",Seed,https://episode1.com/portfolio
Episode 1,TripTease,triptease.com,,"SaaS, TravelTech",Seed,https://episode1.com/portfolio
Episode 1,TV Beat,tvbeat.com,,"AdTech, SaaS",Seed,https://episode1.com/portfolio
Episode 1,Unison,hyperunison.com,,"Biotech, SaaS",Pre-Seed,https://episode1.com/portfolio
Episode 1,User Replay,,,"SaaS, AdTech",Seed,https://episode1.com/portfolio
Episode 1,Webiny,webiny.com,,"Open Source, DevTools, Infrastructure",Pre-Seed,https://episode1.com/portfolio
Episode 1,Zelt,zelt.app,,Marketplace,Seed,https://episode1.com/portfolio
Episode 1,Zipcube,zipcube.com,,Marketplace,Seed,https://episode1.com/portfolio
Ada Ventures,Aerska,,,Healthy Ageing,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Alcolase,,,Healthy Ageing,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Alito,,,Economic Empowerment,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Alvie,,,Healthy Ageing,Seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Back,,,Climate Equity,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Base8,,,Economic Empowerment,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Bilanc,,,Economic Empowerment,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,BlakBear,,,Climate Equity,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Boldr,,,Climate Equity,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Boundless,,,Economic Empowerment,Seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Bubble,,,Economic Empowerment,Seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Cascade,,,Economic Empowerment,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Circa 5000,,,Climate Equity,Seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Flexa,,,Economic Empowerment,Seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Materials Nexus,,,Climate Equity,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Micrographia Bio,,,Healthy Ageing,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Oxford Medical Products,,,Healthy Ageing,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Qoro Quantum,,,Economic Empowerment,Pre-seed,https://www.adaventures.com/#our-portfolio
Ada Ventures,Toothfairy,,,Healthy Ageing,Pre-seed,https://www.adaventures.com/#our-portfolio
Concept Ventures,ArgoX,argoxyz.com,,Digital insurance for SMBs,Pre-seed,https://concept.vc/portfolio
Concept Ventures,MindMax,mindmax.it,,AI consumer audio lessons,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Architect,tryarchitect.com,London/San Francisco,AI page personalization,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Archestra,archestra.ai,,MCP orchestrator,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Fabra,fabra.com,Sydney,3D product design tooling,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Arondite,arondite.com,,Human-machine teaming infra,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Dex,meetdex.ai,,AI voice talent matching,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Anam,anam.ai,,Real-time digital avatars,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Jigcar,jigcar.com,London,Vertical SaaS auto-dealers,Pre-seed,https://concept.vc/portfolio
Concept Ventures,V-Sim,v-sim.co.uk,Manchester,,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Digital Iron,digitaliron.com,,Machinery downtime software,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Wrisk,wrisk.co,London,Insurance experience platform,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Playgap,playgap.io,,Player value prediction gaming,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Verax,verax.ai,London/Dallas,Enterprise AI trust,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Symbe,symbe.co,London,Collaborative business case platform,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Harriet,hrharriet.com,,HR via Slack,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Gendo,gendo.ai,,AI architectural workflow,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Waypoint,waypointcommodities.com,,B2B commodity chemicals marketplace,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Sohar Health,soharhealth.com,,Healthcare infrastructure,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Treefera,treefera.com,,AI tree/biodiversity data,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Spectinga,spectinga.com,Edinburgh,Agricultural machinery marketplace,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Dash Games,dashgames.co,,Social mobile games,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Ontik,ontik.io,,Trade credit risk,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Condense,condense.live,Bristol,Volumetric video streaming,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Cliff.ai,cliff.ai,,Business observability,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Emperia,emperiavr.com,London,Virtual e-commerce experiences,Pre-seed,https://concept.vc/portfolio
Concept Ventures,ElevenLabs,elevenlabs.io,,Voice AI,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Peopleforce,peopleforce.io,London,HR SaaS,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Superlinked,superlinked.com,,Vector embeddings framework,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Track Titan,tracktitan.io,London,Motorsports performance platform,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Landmark,landmark.games,UK,Free-to-play games,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Skiller Whale,skillerwhale.com,London,Developer coaching,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Captur,captur.ai,London,AI fleet operations,Pre-seed,https://concept.vc/portfolio
Concept Ventures,Playter,playter.co,,B2B BNPL,Pre-seed,https://concept.vc/portfolio
Air Street Capital,STARK,stark-defence.com,EU,Defence,Early,https://www.airstreet.com/portfolio
Air Street Capital,Alta Ares,altaares.com,FR,Air defence,Early,https://www.airstreet.com/portfolio
Air Street Capital,Macrodata,macrodata.co,FR,AI infra,Early,https://www.airstreet.com/portfolio
Air Street Capital,Onodrim,onodrim.com,EU,Defence,Early,https://www.airstreet.com/portfolio
Air Street Capital,Perceptic,perceptic.com,UK,AI for science,Early,https://www.airstreet.com/portfolio
Air Street Capital,Synthesia,synthesia.io,UK,AI video,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Black Forest Labs,bfl.ai,DE,Multimodal AI,Early,https://www.airstreet.com/portfolio
Air Street Capital,Kradle,kradle.ai,USA,Frontier evals,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Clove,clove.com,UK,Wealth management,Growth,https://www.airstreet.com/portfolio
Air Street Capital,General Reasoning,gr.inc,UK,Long-horizon agents,Growth,https://www.airstreet.com/portfolio
Air Street Capital,GTV,getgtv.com,USA,AI video,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Delfa,delfa.ai,USA/UK,Clinical trials,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Polar Mist,polarmist.ai,EU,Maritime autonomy,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Studio Atelico,atelico.studio,USA/UK,AI game studio,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Fern Labs,fern-labs.ai,UK,AI agents,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Patina Systems,patinasystems.com,USA,Lifestyle software,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Interloom,interloom.io,DE,Enterprise automation,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Odyssey,odyssey.ml,US/UK,World models,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Delian AI,delian.ai,EU,AI-first navigation,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Sereact,sereact.ai,DE,Physical AI,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Samaya AI,samaya.ai,USA,AI for finance,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Profluent,profluent.bio,USA,Programmable biology,Growth,https://www.airstreet.com/portfolio
Air Street Capital,Adept,adept.ai,USA,AI agents,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Allcyte,allcyte.com,AUT,Diagnostics,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Anagenex,anagenex.com,USA,AI+DELs,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Athenian,athenian.com,FR,SWE metrics,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,CellVoyant,cellvoyant.com,UK,Cell analysis,Series,https://www.airstreet.com/portfolio
Air Street Capital,ClipDrop,clipdrop.co,FR,Image tools,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Coram AI,coram.ai,UK/USA,Video intelligence,Series,https://www.airstreet.com/portfolio
Air Street Capital,Exscientia,exscientia.ai,UK,Pharma,Public,https://www.airstreet.com/portfolio
Air Street Capital,Gandeeva,gandeeva.com,CA,Structural biology,Series,https://www.airstreet.com/portfolio
Air Street Capital,Gourmey,gourmey.com,FR,Cell-based meat,Series,https://www.airstreet.com/portfolio
Air Street Capital,Graphcore,graphcore.ai,UK,AI semis,Acquired,https://www.airstreet.com/portfolio
Air Street Capital,Hedera,hederadx.com,FI/CH,Liquid biopsies,Series,https://www.airstreet.com/portfolio
Air Street Capital,Intenseye,intenseye.com,TR,Workplace safety,Series,https://www.airstreet.com/portfolio
Air Street Capital,LabGenius,labgeni.us,UK,Protein therapeutics,Series,https://www.airstreet.com/portfolio
Air Street Capital,Mission Barns,missionbarns.com,USA,Lab-grown fat,Series,https://www.airstreet.com/portfolio
Air Street Capital,Modern Intelligence,modernintelligence.ai,USA,AI for defence,Series,https://www.airstreet.com/portfolio
Air Street Capital,Poolside,poolside.ai,USA,Enterprise AGI,Series,https://www.airstreet.com/portfolio
Air Street Capital,Recursion,recursion.com,USA,Pharma,Public,https://www.airstreet.com/portfolio
